alert_id,detected_timestamp,resolved_timestamp,hostname,user_id,endpoint_product,alert_name,severity,status,description,file_path,process_name,sha256,assigned_to,device_criticality,detected_timestamp_clean,resolved_timestamp_clean,is_temporal_anomaly,resolution_time_hours,user_id_clean,hostname_clean,severity_clean,severity_score,status_clean,is_active_alert,alert_type_clean,is_high_threat_type,file_path_clean,sha256_clean
EPA00001920,2026-08-09T11:06:47,2026-08-11T06:06:47,VDR-11768,EMP11768,Kaspersky,Lateral movement detected,Medium,R,Endpoint protection detected suspicious activity on host.,C:\ProgramData\svc\agent.dll,,054e0398bbd02a8260a7d6d34e2f84e7ee67706f95b453bbf5a51cbc3d01886c,,,2026-08-09 11:06:47,2026-08-11 06:06:47,False,43.0,EMP11768,VDR-11768,MEDIUM,50,OPEN,True,Lateral Movement Detected,True,C:\ProgramData\svc\agent.dll,054e0398bbd02a8260a7d6d34e2f84e7ee67706f95b453bbf5a51cbc3d01886c
EPA00004656,08/09/2026 17:32,,VDR-11100,EMP-11100,Quick Heal,MALWARE_DETECTED,HIGH,WIP,Multiple failed attempts to disable security agent.,,msedge.exe,20e2f44e68c92f4a824a1a67bb3b9316e6843372c31e029cd1f0b38bc565757a,soc.analyst2,CRITICAL,2026-09-08 17:32:00,,False,,EMP11100,VDR-11100,HIGH,75,IN_PROGRESS,True,Malware_Detected,True,Unknown,20e2f44e68c92f4a824a1a67bb3b9316e6843372c31e029cd1f0b38bc565757a
EPA00001840,08/09/2026,13-Sep-2026 13:51:20,VDR-10029,EMP10029,McAfee,Unusual admin share access,Severe,IN_PROGRESS,Malicious file blocked. User notified. Need validation.,E:\Backup\data.rar,explorer.exe,abbc24bffe28684c1d48bbe075610913ff0accfbc1efc9fd92ac55690c287a0b,unassigned,,2026-09-08 00:00:00,2026-09-13 13:51:20,False,133.86,EMP10029,VDR-10029,CRITICAL,100,IN_PROGRESS,True,Unusual Admin Share Access,False,E:\Backup\data.rar,abbc24bffe28684c1d48bbe075610913ff0accfbc1efc9fd92ac55690c287a0b
EPA00004878,1786065442,11/08/2026 14:17,WS-10202.corp.local,EMP-10202,Windows Defender,MALWARE_DETECTED,MEDIUM,Unassigned,Alert generated from heuristic engine. Possible false positive.,C:\ProgramData\svc\agent.dll,winword.exe,99be2fd35ebc37d1e43fafbbf706101154ca19ecff6c12acaae406a4109edd01,incident.team,CRITICAL,2026-08-07 01:17:22,2026-08-11 14:17:00,False,108.99,EMP10202,WS-10202,MEDIUM,50,IN_PROGRESS,True,Malware_Detected,True,C:\ProgramData\svc\agent.dll,99be2fd35ebc37d1e43fafbbf706101154ca19ecff6c12acaae406a4109edd01
EPA00003821,2026-09-09 09:26:10,,lpt-10538,EMP10538,Kaspersky,Ransomware Activity,M,IN_PROGRESS,Multiple failed attempts to disable security agent.,E:\Backup\data.rar,winword.exe,,admin,,2026-09-09 09:26:10,,False,,EMP10538,LPT-10538,MEDIUM,50,IN_PROGRESS,True,Ransomware Activity,True,E:\Backup\data.rar,unknown
EPA00007195,2026/08/06,2026/08/08,WS-10665,emp10665,SentinelOne,MALWARE_DETECTED,P4,In Progress,User reported machine slowdown after popup. AV alert generated.,C:\Users\Public\Downloads\invoice.exe,,605fa5afc7240e3d84603f476253f2799e645,,HIGH,2026-08-06 00:00:00,2026-08-08 00:00:00,False,48.0,EMP10665,WS-10665,LOW,25,IN_PROGRESS,True,Malware_Detected,True,C:\Users\Public\Downloads\invoice.exe,605fa5afc7240e3d84603f476253f2799e645
EPA00006512,2026-08-05 00:31:08,06/08/2026 13:31,LPT-11158,EMP11158,Kaspersky,Phishing URL blocked,High,CLOSED,Alert triggered by abnormal network connection.,,,ee8d1a041b0beb7eb331f67002674c070afdeffae80adb3725d09ef9cdd0b20a,unassigned,L,2026-08-05 00:31:08,2026-08-06 13:31:00,False,37.0,EMP11158,LPT-11158,HIGH,75,RESOLVED,False,Phishing Url Blocked,False,Unknown,ee8d1a041b0beb7eb331f67002674c070afdeffae80adb3725d09ef9cdd0b20a
EPA00005098,2026-09-04T19:36:51,09-08-2026 09:36:51 AM,WS-12391,EMP-12391,SYMANTEC,Unusual admin share access,High,IN_PROGRESS,Alert triggered by abnormal network connection.,D:\Projects\scripts\cleanup.ps1,python.exe,047b4f0227ac3ae3baf5c7df4fcd89dd157b4fd3fd17511e24f6a909cd0f9f5e,soc.analyst2,L,2026-09-04 19:36:51,2026-08-09 09:36:51,True,,EMP12391,WS-12391,HIGH,75,IN_PROGRESS,True,Unusual Admin Share Access,False,D:\Projects\scripts\cleanup.ps1,047b4f0227ac3ae3baf5c7df4fcd89dd157b4fd3fd17511e24f6a909cd0f9f5e
EPA00003468,1788630794,09-08-2026 10:53:14 AM,LPT-11428.corp.local,emp11428,Kaspersky,Phishing URL blocked,Major,CLOSED,Alert triggered by abnormal network connection.,C:\Windows\Temp\update.tmp,cmd.exe,2a1395f7c9c9b41c671c1cc3ecf3ae94ce9a7c684af5d1a1fceee61a4d115fb4,unassigned,CRITICAL,2026-09-05 17:53:14,2026-08-09 10:53:14,True,,EMP11428,LPT-11428,MEDIUM,50,RESOLVED,False,Phishing Url Blocked,False,C:\Windows\Temp\update.tmp,2a1395f7c9c9b41c671c1cc3ecf3ae94ce9a7c684af5d1a1fceee61a4d115fb4
EPA00001596,1787819664,,VDR-10907,EMP10907,Kaspersky,Ransomware Activity,L,Investigating,Suspicious script execution observed. Logs attached.,C:\ProgramData\svc\agent.dll,unknown,76b98d9ddf9ba7c38ae2f5264b5d8d29d11ecb38ed6784c806744d7d5629cd00,unassigned,CRITICAL,2026-08-27 08:34:24,,False,,EMP10907,VDR-10907,LOW,25,IN_PROGRESS,True,Ransomware Activity,True,C:\ProgramData\svc\agent.dll,76b98d9ddf9ba7c38ae2f5264b5d8d29d11ecb38ed6784c806744d7d5629cd00
