log_id,timestamp,hostname,src_ip,dst_ip,src_port,dst_port,protocol,action,bytes_sent,bytes_received,session_id,threat_flag,rule_name,geo_country,timestamp_clean,hostname_clean,src_ip_clean,is_src_ip_valid,is_src_ip_tampered,dst_ip_clean,is_dst_ip_valid,is_dst_ip_tampered,is_ip_tampered,src_port_clean,dst_port_clean,is_port_anomalous,protocol_clean,action_clean,bytes_sent_clean,bytes_received_clean,total_bytes,session_id_clean,threat_flag_clean,rule_name_clean,geo_country_clean
FW000002394,09-06-2026 11:22:07 AM,LPT-11180,10.232.175,999.999.999.999,25.0,443.0,TCP/6,permit,727539,"15,092,296",,False,,United States,2026-06-09 11:22:07,LPT-11180,10.232.175,False,True,999.999.999.999,False,True,True,25,443,False,TCP,ALLOW,727539,15092296,15819835,UNKNOWN_SESSION,False,UNKNOWN,United States
FW000010469,2026-09-03 07:11:28,LPT-12202,192.168.69.,10.33.1,8080.0,25.0,tcp,drop,31543169,20792470,sid191825,False,block_tor_exit,China,2026-09-03 07:11:28,LPT-12202,192.168.69.,False,True,10.33.1,False,True,True,8080,25,False,TCP,DENY,31543169,20792470,52335639,SID191825,False,BLOCK_TOR_EXIT,China
FW000014783,13/08/2026 17:11,VDR-12618,192.168.39.124,101.219.19.127.0,-1.0,135.0,UDP,PASS,23607256,20374317,SID963012,yes,UNKNOWN,unknown,2026-08-13 17:11:00,VDR-12618,192.168.39.124,True,False,101.219.19.127.0,False,True,True,-1,135,True,UDP,ALLOW,23607256,20374317,43981573,SID963012,True,UNKNOWN,Unknown
FW000020363,,VDR-11201,156.204.122.36,171.31.88.211.0,8443.0,,UDP,Deny,,40629470,SID910746,no,,unknown,,VDR-11201,156.204.122.36,True,False,171.31.88.211.0,False,True,True,8443,-1,True,UDP,DENY,0,40629470,40629470,SID910746,False,UNKNOWN,Unknown
FW000001711,2026-08-25T08:26:06,LPT-11882,145.73.181.9,192.168.203.,3389.0,8080.0,udp,pass,43682143,2159125,SID714372,False,DENY_TELNET,Russia,2026-08-25 08:26:06,LPT-11882,145.73.181.9,True,False,192.168.203.,False,True,True,3389,8080,False,UDP,ALLOW,43682143,2159125,45841268,SID714372,False,DENY_TELNET,Russia
FW000006743,2026-09-05T22:06:16,WS-12120,10.41.244.,192.168.55.8,22.0,8443.0,TCP/6,PERMIT,26306691,13482874,sid982658,False,allow_office_apps,RU,2026-09-05 22:06:16,WS-12120,10.41.244.,False,True,192.168.55.8,True,False,True,22,8443,False,TCP,ALLOW,26306691,13482874,39789565,SID982658,False,ALLOW_OFFICE_APPS,Ru
FW000013362,08/09/2026 00:07,WS-10408,192.168.81.155,UNKNOWN,,,tcp,Deny,46733971,40723164,,False,,IN,2026-09-08 00:07:00,WS-10408,192.168.81.155,True,False,0.0.0.0,False,True,True,-1,-1,True,TCP,DENY,46733971,40723164,87457135,UNKNOWN_SESSION,False,UNKNOWN,In
FW000012537,21/08/2026 04:35,,10.50.239,183.114.107.123,8443.0,,tcp,pass,"22,350,548",12075054,,0,MONITOR_DB_ACCESS,United States,2026-08-21 04:35:00,,10.50.239,False,True,183.114.107.123,True,False,True,8443,-1,True,TCP,ALLOW,22350548,12075054,34425602,UNKNOWN_SESSION,False,MONITOR_DB_ACCESS,United States
FW000013677,09-Aug-2026 10:12:18,VDR-11508,192.168.133.133,10.244.117,445.0,8080.0,tcp,ALLOW,35366491,21521981,SID605740,False,allow_office_apps,,2026-08-09 10:12:18,VDR-11508,192.168.133.133,True,False,10.244.117,False,True,True,445,8080,False,TCP,ALLOW,35366491,21521981,56888472,SID605740,False,ALLOW_OFFICE_APPS,Unknown
FW000028164,2026-08-15 10:08:00,WS-12879,67.230.146.16,10.199.238.,443.0,135.0,6,ALLOW,38805.48 KB,16679948,SID865676,N,allow_office_apps,China,2026-08-15 10:08:00,WS-12879,67.230.146.16,True,False,10.199.238.,False,True,True,443,135,False,TCP,ALLOW,0,16679948,16679948,SID865676,False,ALLOW_OFFICE_APPS,China
FW000018439,2026-08-20T14:13:49,WS-11108,123.248.215.152,10-139.158,8443.0,,6,ALLOW,39606947,43.63 MB,SID816338,False,MONITOR_DB_ACCESS,United States,2026-08-20 14:13:49,WS-11108,123.248.215.152,True,False,10-139.158,False,True,True,8443,-1,True,TCP,ALLOW,39606947,0,39606947,SID816338,False,MONITOR_DB_ACCESS,United States
FW000005116,08/08/2026 12:40,,172.16.29.142.0,143.230.236.92,3389.0,3389.0,tcp,Allow,35549756,26804,SID209067,False,UNKNOWN,CN,2026-08-08 12:40:00,,172.16.29.142.0,False,True,143.230.236.92,True,False,True,3389,3389,False,TCP,ALLOW,35549756,26804,35576560,SID209067,False,UNKNOWN,Cn
FW000012406,2026-08-17 20:22:19,ws-11953,192.168.139.226,213.15.99.,8080.0,0.0,tcp,permit,"49,527,024",17088650,SID989548,False,ALLOW_INTERNAL_DNS,United States,2026-08-17 20:22:19,WS-11953,192.168.139.226,True,False,213.15.99.,False,True,True,8080,0,False,TCP,ALLOW,49527024,17088650,66615674,SID989548,False,ALLOW_INTERNAL_DNS,United States
