event_id,timestamp,user_id,username,department,event_type,auth_method,source_ip,hostname,device_id,session_id,mfa_passed,failure_reason,risk_score,geo_location,timestamp_clean,user_id_clean,username_clean,department_clean,event_type_clean,event_category,is_failed_login,is_mfa_failed,auth_method_clean,source_ip_clean,is_source_ip_valid,is_source_ip_tampered,hostname_clean,device_id_clean,session_id_clean,mfa_passed_clean,failure_reason_clean,risk_score_clean,geo_location_clean
IAM00008974,05/09/2026 12:43,EMP-11889,atharv.shukla79,Compliance,LOGON_SUCCESS,otp,UNKNOWN,vdr-11889,DEV48365,SID120652,1,,78/100,PB,2026-09-05 12:43:00,EMP11889,atharv.shukla79,Compliance,LOGIN_SUCCESS,login_success,False,False,OTP,0.0.0.0,False,True,VDR-11889,DEV-48365,SID120652,True,,78.0,PB
IAM00017969,09-Sep-2026 01:56:18,EMP-10918,isha.vyas39,Ops Team,MFA_FAILED,biometric,10-141.198,ws-10918,DEV79178,,False,MFA failed,78,Maharashtra,2026-09-09 01:56:18,EMP10918,isha.vyas39,Operations,MFA_FAILED,mfa_failed,True,True,BIOMETRIC,10.141.198,False,True,WS-10918,DEV-79178,UNKNOWN_SESSION,False,MFA failed,78.0,Maharashtra
IAM00015700,04/09/2026 04:04,EMP10629,ojasvi.majumdar45,Ops,FAILED_LOGIN,certificate,999.999.999.999,WS-10629,NA,,True,NA,High,remote,2026-09-04 04:04:00,EMP10629,ojasvi.majumdar45,Operations,FAILED_LOGIN,other,False,False,CERTIFICATE,999.999.999.999,False,True,WS-10629,,UNKNOWN_SESSION,True,NA,75.0,remote
IAM00016756,2026/09/09,emp_10271,widisha.nagy75,Legal Dept,PASSWORD_RESET,MFA,10.131.74,LPT-10271,DEV53236,,False,,78,Punjab,2026-09-09 00:00:00,EMP10271,widisha.nagy75,Legal,PASSWORD_CHANGE,account_action,False,False,MFA,10.131.74,False,True,LPT-10271,DEV-53236,UNKNOWN_SESSION,False,None,78.0,Punjab
IAM00009357,2026-08-03T00:01:59,EMP10122,OSHA.CHAKRABORTY87,legal,MFA_FAILED,otp,172.16.14.,LPT_10122,DEV61717,,no,NA,32,remote,2026-08-03 00:01:59,EMP10122,osha.chakraborty87,Legal,MFA_FAILED,mfa_failed,True,True,OTP,172.16.14.,False,True,LPT-10122,DEV-61717,UNKNOWN_SESSION,False,NA,32.0,remote
IAM00014775,2026-08-26 21:29:16,EMP12961,chatura.char56,Ops,LOGON_SUCCESS,MFA,31.131.170.195,LPT-12961,DEV98510,,True,,-3,ind,2026-08-26 21:29:16,EMP12961,chatura.char56,Operations,LOGIN_SUCCESS,login_success,False,False,MFA,31.131.170.195,True,False,LPT-12961,DEV-98510,UNKNOWN_SESSION,True,None,0.0,ind
IAM00004189,10/08/2026,EMP10289,jonathan.narayanan92,Human Resource,success_login,certificate,20.56.54.159,LPT-10289,DEV59807,SID754956,Y,,15,PB,2026-08-10 00:00:00,EMP10289,jonathan.narayanan92,Human Resources,SUCCESS_LOGIN,other,False,False,CERTIFICATE,20.56.54.159,True,False,LPT-10289,DEV-59807,SID754956,True,None,15.0,PB
IAM00016161,1787085290,EMP12196,vedika.loke72,sales team,ACCOUNT_UNLOCK,biometric,,LPT_12196,NA,,True,,94,ind,2026-08-18 20:34:50,EMP12196,vedika.loke72,Sales,ACCOUNT_STATUS_CHANGE,account_action,False,False,BIOMETRIC,0.0.0.0,False,True,LPT-12196,,UNKNOWN_SESSION,True,None,94.0,ind
IAM00013358,2026-08-06T13:55:03,EMP 12764,urmi.dey32,,invalid_credentials,MFA,UNKNOWN,,DEV62437,,yes,MFA failed,56,,2026-08-06 13:55:03,EMP12764,urmi.dey32,Unknown,LOGIN_FAILED,login_failed,True,False,MFA,0.0.0.0,False,True,,DEV-62437,UNKNOWN_SESSION,True,MFA failed,56.0,Unknown
IAM00006152,22/08/2026,EMP11251,amrita.balakrishnan89,Supply Chain,FAILED_LOGIN,PASSWORD,172.16.142.135.0,VDR-11251,DEV32326,SID567692,False,NA,91,India,2026-08-22 00:00:00,EMP11251,amrita.balakrishnan89,Supply Chain,FAILED_LOGIN,other,False,False,PASSWORD,172.16.142.135.0,False,True,VDR-11251,DEV-32326,SID567692,False,NA,91.0,India
