log_id,timestamp,hostname,src_ip,dst_ip,src_port,dst_port,protocol,action,bytes_sent,bytes_received,session_id,threat_flag,rule_name,geo_country
FW000002394,09-06-2026 11:22:07 AM,LPT-11180,10.232.175,999.999.999.999,25,443,TCP/6,permit,727539,"15,092,296",NA,False,,United States
FW000010469,2026-09-03 07:11:28,LPT-12202,192.168.69.,10.33.1,8080,25,tcp,drop,31543169,20792470,sid191825,False,block_tor_exit,China
FW000014783,13/08/2026 17:11,VDR-12618,192.168.39.124,101.219.19.127.0,-1,135,UDP,PASS,23607256,20374317,SID963012,yes,UNKNOWN,unknown
FW000020363,,VDR-11201,156.204.122.36,171.31.88.211.0,8443,NA,UDP,Deny,,40629470,SID910746,no,,unknown
FW000001711,2026-08-25T08:26:06,LPT-11882,145.73.181.9,192.168.203.,3389,8080,udp,pass,43682143,2159125,SID714372,False,DENY_TELNET,Russia
FW000006743,2026-09-05T22:06:16,WS-12120,10.41.244.,192.168.55.8,22,8443,TCP/6,PERMIT,26306691,13482874,sid982658,False,allow_office_apps,RU
FW000013362,08/09/2026 00:07,WS-10408,192.168.81.155,UNKNOWN,,,tcp,Deny,46733971,40723164,,False,,IN
FW000012537,21/08/2026 04:35,,10.50.239,183.114.107.123,8443,NA,tcp,pass,"22,350,548",12075054,,0,MONITOR_DB_ACCESS,United States
FW000013677,09-Aug-2026 10:12:18,VDR-11508,192.168.133.133,10.244.117,445,8080,tcp,ALLOW,35366491,21521981,SID605740,False,allow_office_apps,
FW000028164,2026-08-15 10:08:00,WS-12879,67.230.146.16,10.199.238.,443,135,6,ALLOW,38805.48 KB,16679948,SID865676,N,allow_office_apps,China
FW000018439,2026-08-20T14:13:49,WS-11108,123.248.215.152,10-139.158,8443,,6,ALLOW,39606947,43.63 MB,SID816338,False,MONITOR_DB_ACCESS,United States
FW000005116,08/08/2026 12:40,,172.16.29.142.0,143.230.236.92,3389,3389,tcp,Allow,35549756,26804,SID209067,False,UNKNOWN,CN
FW000012406,2026-08-17 20:22:19,ws-11953,192.168.139.226,213.15.99.,8080,0,tcp,permit,"49,527,024",17088650,SID989548,False,ALLOW_INTERNAL_DNS,United States
FW000027859,,WS-11372,10.235.103,155.241.210.,8080,25,udp,Deny,,8848228,SID321081,N,block_tor_exit,
FW000002141,09/09/2026,VDR-10638.corp.local,,10.160.12,-5,135,TCP,PERMIT,"38,886,739",36.79 MB,SID195136,False,UNKNOWN,China
FW000013089,23/08/2026 03:54,VDR-10165,181-44.144.51,122.161.65.162,97882,443,6,block,"5,333,880",33603939,SID707651,N,ALLOW_WEB,
FW000010655,,LPT_11191,10.162.144.0,10.149.71,8443,,17,deny,20588901,21425754,SID903924,False,UNKNOWN,IN
FW000007354,,,61.27.27.235,192.168.171.,85108,80,TCP,deny,12863477,"7,681,667",SID598053,True,DENY_TELNET,Russia
FW000026490,08-04-2026 03:23:15 AM,VDR-10498,105.145.224.169,192.168.70.44,8443,80,tcp,deny,35.15 MB,,SID320757,N,ALLOW_INTERNAL_DNS,
FW000007603,23/08/2026,VDR_12480,182.140.176.178,103.61.182.141,443,8443,TCP/6,BLOCK,29951357,18098013,SID531430,N,block_tor_exit,CN
FW000019396,20/08/2026 21:31,VDR-11494,999.999.999.999,10-21.93,25,NA,6,ALLOW,37060184,15130.19 KB,,False,NA,unknown
FW000024924,2026-09-08 01:05:04,VDR-11999,192.168.217.6,UNKNOWN,25,22,17,BLOCK,,6823662,SID122442,False,ALLOW_WEB,China
FW000017708,18-Aug-2026 07:12:08,VDR-12823,192.168.36.176,172.16.164.62,443,25,TCP/6,block,13767894,35959647,SID398629,0,NA,China
FW000022559,08-16-2026 11:11:41 AM,LPT-10414,UNKNOWN,10.50.186,3306,80,17,pass,13084174,NA,SID-878412,N,ALLOW_WEB,
FW000027566,,VDR-10489,192.168.245.10,192.168.67.145,3389,80,TCP,Allow,31374454,40.65 MB,SID595221,0,ALLOW_INTERNAL_DNS,Russia
FW000019422,2026-08-07T10:38:53,ws-12913,10.153.73,172.16.48.60,NA,,UDP,permit,6477884,29134564,SID390749,False,BLOCK_EXTERNAL_RDP,
FW000005219,1786786131,LPT-12575,192.168.51.100,172.16.75.59,3389,22,TCP,permit,"16,075,423",10802819,SID768286,False,MONITOR_DB_ACCESS,
FW000012543,2026-08-02 10:44:07,LPT-12597,172.16.31.14,216.109.203.198,22,-5,TCP/6,deny,1705068,3019487,SID633485,N,block_tor_exit,India
FW000007556,19/08/2026 09:27,VDR-12465,10.117.241,172.16.3.126,443,443,UDP/17,pass,31530947,28341918,SID621222,False,ALLOW_INTERNAL_DNS,
FW000006836,1786331511,ws-11442,UNKNOWN,172.16.12.70,8443,3389,UDP/17,drop,17008932,34016110,SID110302,False,block_tor_exit,India
FW000016821,09/09/2026 07:45,vdr-11091,10.184.55,156.10.141.38.0,,3306,TCP,PERMIT,37090.27 KB,34197716,sid119564,False,DENY_TELNET,unknown
FW000009483,20/08/2026,vdr-10740,172.16.176.126,192.168.176.87,NA,-4,tcp,Allow,21.1 MB,32180153,SID154338,False,ALLOW_WEB,IN
FW000014844,16/08/2026,,172.16.235.56,101.145.78.155,NA,3306,udp,Allow,45648625,11026557,SID999774,N,,United States
FW000016637,08-08-2026 05:13:46 PM,,172.16.242.164,172.16.170.,3306,78703,TCP/6,Allow,40279097,"620,980",SID581567,no,UNKNOWN,IN
FW000010002,2026-08-23T19:12:26,VDR-10278,UNKNOWN,,53,445,ICMP,ALLOW,38.97 MB,263790,SID361728,False,ALLOW_WEB,CN
FW000012103,27/08/2026 23:06,LPT-12231,999.999.999.999,10.94.110,-1,,UDP/17,pass,4510732,31653496,SID522198,N,NA,ind
FW000023762,,WS-12902,UNKNOWN,189.72.46.97,84048,445,6,PERMIT,17987.53 KB,8362.26 KB,SID821602,False,UNKNOWN,RU
FW000010243,2026-09-08 12:43:01,VDR_10735,999.999.999.999,,443,445,UDP/17,PASS,"39,399,009",45643710,,False,ALLOW_INTERNAL_DNS,CN
FW000016419,06/09/2026,LPT-11138,132-52.188.38,10.175.112,8080,80529,ping,ALLOW,"22,469,301",26318973,SID944709,0,,
FW000016085,22/08/2026,WS_10878,10.150.204,999.999.999.999,445,3306,6,deny,47895087,-68958,SID901254,N,,
FW000002010,09-02-2026 02:27:59 AM,VDR-10222,172.16.10.213,172.16.17.,22,3306,6,pass,46422639,8455991,SID-493161,N,MONITOR_DB_ACCESS,
FW000018098,2026-08-12T13:59:29,VDR-11927,,999.999.999.999,76417,3389,tcp,ALLOW,,"49,501,142",NA,N,,China
FW000024231,1787068639,WS-10036,172.16.81.226,22.45.33.226,3306,8080,udp,Allow,1119535,"49,407,356",SID826123,N,,CN
FW000029944,2026-08-14 05:53:13,vdr-10035,10.145.63,10.2.124.0,3306,22,UDP,permit,NA,26572596,SID212194,N,DENY_TELNET,RU
FW000027337,,VDR_12513,10.53.34.0,10.236.144,99622,22,TCP,pass,"3,866,855",40903083,SID993036,no,MONITOR_DB_ACCESS,
FW000017809,12/08/2026 21:26,VDR-10611.corp.local,137.144.198.79,72-80.209.40,,3389,TCP/6,PERMIT,28432888,"32,585,454",SID535128,False,ALLOW_INTERNAL_DNS,
FW000023405,21-Aug-2026 18:32:52,WS-11108,172.16.232.92,207.142.86.138,135,25,tcp,pass,668.69 KB,,,True,allow_office_apps,CN
FW000008539,03/08/2026,,220.38.192.191.0,999.999.999.999,443,25,TCP/6,PERMIT,26905208,"12,423,698",SID296803,no,ALLOW_WEB,Russia
FW000003800,28/08/2026,lpt-11299,999.999.999.999,10.96.232,NA,3389,TCP/6,ALLOW,38911739,41161430,SID787610,False,UNKNOWN,United States
FW000010782,,LPT-10842,10.183.42,212.163.80.67,8443,53,TCP/6,PASS,36830616,"30,278,320",SID535530,False,MONITOR_DB_ACCESS,
FW000009004,2026-09-04 16:06:40,,,UNKNOWN,1433,3389,6,ALLOW,43780920,41194567,SID916554,True,block_tor_exit,unknown
FW000023602,27-Aug-2026 10:30:48,LPT-12843,10.9.18,172.151.155.186,443,8080,TCP,drop,NA,4771475,SID550712,False,,
FW000008301,2026-08-09 04:28:54,VDR-11599,10.107.53,UNKNOWN,8443,3306,ICMP,PASS,"41,041,611",47895945,SID184900,False,,IN
FW000008945,2026-08-29T05:34:23,VDR-11047,UNKNOWN,172.16.48.100,443,3389,TCP/6,ALLOW,NA,37127287,,False,ALLOW_WEB,Russia
FW000026442,06-Aug-2026 11:56:12,LPT-12370,10.97.19,192.168.211.188,135,8443,tcp,permit,28802832,15.67 MB,,N,BLOCK_EXTERNAL_RDP,IN
FW000005721,01/08/2026,LPT_11751,10.64.134,202.251.108.84,80,53,6,PERMIT,48755707,"21,659,021",SID331359,no,block_tor_exit,China
FW000027420,1787041736,LPT-11683,172.16.190.39,192.168.53.57,3306,445,TCP,deny,-18460277,38746517,,0,MONITOR_DB_ACCESS,
FW000021832,04/08/2026 17:49,VDR-11264,999.999.999.999,172.16.247.246.0,3389,53,TCP,pass,47344876,NA,SID772491,False,,US
FW000000737,10/08/2026 08:24,VDR-10599,999.999.999.999,,1433,8080,UDP,ALLOW,"44,624,586","1,792,891",sid914418,False,ALLOW_INTERNAL_DNS,IN
FW000025249,25/08/2026 04:25,WS-12077,172.16.30.48,113.168.91.146,25,8080,tcp,PERMIT,19476522,-8667081,SID504338,N,allow_office_apps,United States
FW000008944,2026-08-08 02:28:06,VDR-12312,999.999.999.999,172.16.61.25,443,22,tcp,PERMIT,46331420,26933750,,False,NA,RU
FW000007651,2026-08-16 00:06:07,WS-12232,10.38.136.0,,3306,NA,6,ALLOW,45992400,22.39 MB,SID-629452,0,BLOCK_EXTERNAL_RDP,CN
FW000008226,08/09/2026 04:56,WS-10325,10.13.214,90.101.122.41,3389,25,UDP,PASS,"28,224,587",4949010,SID-518246,False,ALLOW_WEB,
FW000006217,08-01-2026 05:20:40 AM,VDR-12464,172.16.247.35,95.178.8.138.0,3389,NA,tcp,block,39884181,44085.69 KB,sid242697,0,DENY_TELNET,
FW000015063,2026/09/01,,10.232.233.,192.168.198.8,-1,443,TCP,deny,15622.93 KB,42134729,SID997151,0,block_tor_exit,unknown
FW000028466,2026-09-08 10:13:05,VDR-10843,10.46.72,192.168.185.116,135,8080,tcp,permit,32713900,25286876,sid763339,False,DENY_TELNET,United States
FW000014665,1785583056,VDR-10718,172.16.24.64,192.168.153.88,-4,8080,TCP,Allow,42.35 MB,6638209,SID104189,no,BLOCK_EXTERNAL_RDP,China
FW000011605,2026-08-09 09:35:14,WS-10546,999.999.999.999,10.192.52,3389,445,tcp,PERMIT,NA,,SID335655,False,block_tor_exit,China
FW000002993,2026/08/26,WS_10252,10-30.87,187.147.89.171,86579,1433,TCP/6,Allow,36283679,-45801829,SID714560,False,,unknown
FW000005101,29-Aug-2026 21:33:23,,172.16.127.6,192-168.243.173,3389,3389,ICMP,pass,"24,938,196",46204596,,no,block_tor_exit,IN
FW000000429,1786132508,lpt-11011,159.186.89.212.0,999.999.999.999,NA,443,6,pass,33029976,"11,744,013",SID882944,False,UNKNOWN,China
FW000028507,2026-08-28 17:47:03,LPT-10854,10.148.230,192.168.66.78.0,445,-4,tcp,Deny,"19,069,910",,SID940336,True,,
FW000004161,2026-08-18 23:38:59,VDR-10482,10.87.211,172.16.220.49,443,8080,UDP/17,PASS,"35,873,798",46934177,SID-670517,False,ALLOW_INTERNAL_DNS,India
FW000007101,2026-08-09T18:46:12,LPT-11055,192.168.11.62,10.249.161,3389,25,6,Allow,47.17 MB,1.5 MB,SID538498,False,,CN
FW000022267,02/08/2026 12:14,LPT-10356,172-16.119.91,152.71.247.39,8080,443,6,Deny,18652452,32388589,SID329262,False,,
FW000019303,2026/09/02,,10.49.232,10.169.98,3389,76403,tcp,PERMIT,19202469,25842703,SID998455,False,ALLOW_INTERNAL_DNS,US
FW000017610,1788732698,LPT-11870,UNKNOWN,121.108.104.116,22,53,1,Allow,28163533,23915413,SID-692608,False,,RU
FW000020256,,WS_11243,172-16.218.56,10.105.86,1433,8443,UDP,Allow,NA,38452978,sid888925,True,ALLOW_INTERNAL_DNS,IN
FW000012297,09-01-2026 10:34:04 PM,VDR-12883,,,3306,443,tcp,DENY,45935403,27451.21 KB,SID281899,0,UNKNOWN,India
FW000024319,2026-08-31 08:22:36,LPT-12158,155.90.72.156,143.107.18.136,135,443,icmp,PASS,-3187321,17.34 MB,SID364978,N,NA,unknown
FW000001792,23/08/2026 18:55,WS_12992,10.202.128,86.97.154.216,3306,-1,6,block,"40,398,389",34226001,SID-691786,False,DENY_TELNET,unknown
FW000000897,1787798400,LPT-10909.corp.local,192.168.184.129.0,192.168.136.175,80,80,TCP,ALLOW,44199203,NA,NA,N,UNKNOWN,
FW000022843,2026-08-01T10:34:33,VDR-11632,10.176.66,11.154.83.112,445,443,1,Deny,37401471,6807637,SID733944,False,UNKNOWN,United States
FW000026906,08-18-2026 11:40:19 PM,WS-10602,192.168.203.7,80.162.192.16,1433,3389,TCP,PERMIT,48015126,37787701,SID867802,False,BLOCK_EXTERNAL_RDP,RU
FW000001599,1788195326,VDR-11575,172.16.64.157.0,21.61.48.53,135,1433,6,PERMIT,16728092,NA,SID477233,N,block_tor_exit,IN
FW000011118,2026-08-08T10:51:12,WS-11806,UNKNOWN,10.15.228,-1,53,6,PASS,"3,287,023",44813546,SID563073,False,block_tor_exit,United States
FW000002880,2026-08-04T16:32:06,WS-11564,192.168.202.246,10.3.89,443,3389,TCP/6,Allow,31032243,29371865,SID819389,no,BLOCK_EXTERNAL_RDP,United States
FW000024131,2026-08-02T11:29:59,VDR-10231,999.999.999.999,175.114.149.222,8443,8080,TCP,deny,1256036,37476384,SID898422,False,BLOCK_EXTERNAL_RDP,unknown
FW000009419,09/09/2026,VDR-12200.corp.local,10.167.152,172.16.119.167,NA,1433,tcp,ALLOW,10787.17 KB,37170715,SID250529,0,DENY_TELNET,US
FW000027731,01-Sep-2026 04:11:01,LPT-12755,58.83.187.197,42.144.53.162.0,8080,53,TCP/6,BLOCK,37747537,38.67 MB,SID395360,False,,US
FW000028977,2026-09-07 19:03:07,WS-10941,192-168.114.241,10.145.16,8080,445,UDP,ALLOW,1955811,48806639,SID109124,False,DENY_TELNET,
FW000028680,1788287952,VDR-11082,UNKNOWN,27.125.234.20,8443,-2,6,ALLOW,14088416,27295606,SID574481,no,,IN
FW000010945,23/08/2026 01:20,VDR-12017,10-90.199,192.168.228.127,8080,NA,6,Allow,21083845,,SID921722,N,DENY_TELNET,ind
FW000028092,2026-08-29 18:21:57,WS-12037,182.25.98.,,443,25,tcp,ALLOW,38066762,NA,SID145416,False,ALLOW_INTERNAL_DNS,IN
FW000011538,08-25-2026 07:17:24 AM,WS-10049,172.16.156.49,192.168.181.72,135,8443,ping,ALLOW,31418.83 KB,-18354392,SID809607,False,NA,RU
FW000012147,07/08/2026 15:47,LPT-10076,10-11.177,192.168.106.69,90539,445,tcp,deny,"37,478,215",40.75 MB,SID811306,False,DENY_TELNET,United States
FW000026086,2026-08-09T14:52:46,,192.168.17.39,10.187.76,80,8080,6,block,"48,054,142",47499231,,False,allow_office_apps,IN
FW000014162,08/08/2026 04:02,,10.119.127,217.52.12.178.0,80,53,TCP,ALLOW,49565083,36309.76 KB,SID-708407,False,allow_office_apps,unknown
FW000024683,2026/08/23,VDR-11343,78.232.212.230,192.168.143.146,NA,22,17,pass,4563739,11.26 MB,SID409076,False,allow_office_apps,US
FW000005743,,VDR-10503,10.182.114.,214.211.176.212,8443,53,TCP,PASS,43818265,15868370,SID457382,True,DENY_TELNET,
FW000004739,09/09/2026,LPT-12743,172.16.180.233,192.168.221.59,53,25,tcp,permit,9896265,35786415,SID772015,False,UNKNOWN,
FW000007199,2026-08-22 22:29:51,LPT-10437,172.16.102.184,189.240.208.35,443,3389,TCP/6,permit,18786.04 KB,19563255,SID333254,False,BLOCK_EXTERNAL_RDP,
FW000005816,,WS-12447,183.190.197.113.0,148-240.19.234,22,0,6,pass,1.91 MB,-43423976,,False,allow_office_apps,unknown
FW000026881,09-Sep-2026 05:18:45,LPT-10616,,10.109.191.,135,NA,TCP/6,Allow,41248016,28485.69 KB,SID950116,False,,ind
FW000011098,03/08/2026 20:11,LPT-11805,UNKNOWN,70-81.83.173,25,1433,17,Allow,27931877,29470677,,False,DENY_TELNET,unknown
FW000014470,07/08/2026,WS-10814,86.88.100.11,111.217.51.161.0,443,8080,1,Deny,"27,022,586",8230325,SID531136,False,DENY_TELNET,
FW000006423,08-21-2026 11:03:00 AM,WS-11041,214.0.129.63,999.999.999.999,445,80,tcp,PASS,32531283,-15788858,SID521609,False,allow_office_apps,unknown
FW000018798,09-08-2026 10:25:43 AM,VDR-12436,172.16.252.155,159.195.194.93,135,3306,tcp,ALLOW,"38,407,000","17,289,618",SID706740,False,allow_office_apps,
FW000023495,1787942805,WS-11895,192.168.199.223,172.16.55.96,NA,25,TCP,PASS,15625326,30746779,SID865127,no,DENY_TELNET,
FW000013084,2026-09-04 03:08:38,lpt-12778,10.241.63,,3306,-3,TCP,PASS,49133102,,SID-463585,False,DENY_TELNET,
FW000016566,08-21-2026 05:36:16 AM,WS-12723,10.187.231.0,10.99.115,8080,NA,UDP/17,Deny,33640403,"494,249",SID585639,no,allow_office_apps,
FW000025408,2026-08-11 02:50:49,WS-10074,10.141.43.,,-2,445,6,permit,8175385,,SID851313,False,UNKNOWN,RU
FW000019613,08-24-2026 05:14:21 PM,LPT-11710.corp.local,46.226.94.208.0,172.16.149.204,-4,22,6,permit,25444675,21535163,SID-623901,N,allow_office_apps,India
FW000007470,15/08/2026 02:57,LPT_11903,UNKNOWN,210.6.231.19,73713,,udp,PERMIT,20639347,47857019,SID335255,False,allow_office_apps,Russia
FW000022385,1785734985,ws-12204,UNKNOWN,10.108.88.,-1,77403,TCP,pass,7347.73 KB,41374539,SID492908,False,MONITOR_DB_ACCESS,ind
FW000023078,2026-08-04 06:22:35,VDR-12247,192.168.233.252,200.41.66.155,NA,445,tcp,ALLOW,-32613263,46342016,SID702175,N,NA,
FW000024125,1785725291,LPT-12520,192.168.209.155,172.16.170.74,445,8080,TCP,pass,"35,896,461","11,041,137",,False,BLOCK_EXTERNAL_RDP,
FW000012478,1788180614,,UNKNOWN,10.5.227,0,-2,tcp,DROP,49544779,34036638,SID588800,False,DENY_TELNET,
FW000003101,1788589997,vdr-11843,999.999.999.999,112.28.222.134,22,53,TCP/6,permit,19547080,"38,057,550",,False,ALLOW_INTERNAL_DNS,China
FW000015212,,LPT-11627,192.168.237.,UNKNOWN,445,8443,TCP,ALLOW,47729438,23535307,sid458433,False,ALLOW_INTERNAL_DNS,ind
FW000013372,08-03-2026 04:57:17 PM,VDR_10631,,172.16.2.114,1433,53,TCP/6,permit,-26006510,28163109,SID753399,0,block_tor_exit,US
